iter	Logloss
0	0.6836896162
1	0.6744448738
2	0.6692879663
3	0.6607768305
4	0.6521116039
5	0.6447000152
6	0.6357055237
7	0.6288516894
8	0.6213719258
9	0.6126579321
10	0.6060490238
11	0.6000066164
12	0.5926714505
13	0.5857248351
14	0.5786558633
15	0.5714215235
16	0.5652147311
17	0.559762796
18	0.5533899149
19	0.5475674513
20	0.5422862446
21	0.5364169186
22	0.5314815483
23	0.5258747291
24	0.5203835606
25	0.5165991094
26	0.5111768398
27	0.5063793101
28	0.5017357245
29	0.4971440328
30	0.492674948
31	0.4881984446
32	0.484303349
33	0.4800321212
34	0.4762306056
35	0.4723927296
36	0.4690106882
37	0.465357714
38	0.4617706034
39	0.4582222866
40	0.4537736307
41	0.4507295924
42	0.4486418629
43	0.4457624684
44	0.4426661945
45	0.4394482037
46	0.4362363084
47	0.4335192743
48	0.4306038746
49	0.4279125318
50	0.4255967617
51	0.4231446257
52	0.4208617978
53	0.418467922
54	0.4160376437
55	0.4139568613
56	0.4119678361
57	0.4097420978
58	0.4075272922
59	0.4049595315
60	0.4018292814
61	0.3996481052
62	0.3978347342
63	0.3954982481
64	0.3932995517
65	0.3912744823
66	0.38917393
67	0.3868885929
68	0.3846953564
69	0.3825450675
70	0.38084931
71	0.3791177403
72	0.3775375458
73	0.3757808667
74	0.3739335177
75	0.3723168446
76	0.370806622
77	0.3693247118
78	0.3672933116
79	0.3661735026
80	0.3648853657
81	0.3631949497
82	0.361259156
83	0.3593072996
84	0.3576246034
85	0.3559847618
86	0.355059039
87	0.3535293947
88	0.3520613476
89	0.3508100005
90	0.3493405793
91	0.347620479
92	0.3463721774
93	0.345041579
94	0.3435726557
95	0.3422730543
96	0.340871946
97	0.3398106123
98	0.3386151653
99	0.3376252694
100	0.3365337333
101	0.3353688203
102	0.3343143573
103	0.3333439287
104	0.332041549
105	0.3311406453
106	0.329754922
107	0.3283951081
108	0.3272821891
109	0.3262060676
110	0.3251256979
111	0.3241010953
112	0.3231830257
113	0.3221571092
114	0.3210858078
115	0.3198873592
116	0.3188887012
117	0.3178960397
118	0.3166847847
119	0.3158703848
120	0.3148508589
121	0.3138731354
122	0.3126249313
123	0.3115697946
124	0.3102544554
125	0.3092269775
126	0.3082957186
127	0.3074080297
128	0.3065106134
129	0.305597846
130	0.3046469996
131	0.3044697217
132	0.3036248285
133	0.3027549639
134	0.3019483554
135	0.3011665684
136	0.3004946095
137	0.2998499247
