iter	Passed	Remaining
871	39174	5750
872	39209	5703
873	39240	5657
874	39271	5610
875	39301	5563
876	39335	5516
877	39365	5469
878	39396	5423
879	39429	5376
880	39478	5332
881	39511	5286
882	39546	5240
883	39578	5193
884	39614	5147
885	39646	5101
886	39680	5055
887	39712	5008
888	39748	4962
889	39780	4916
890	39814	4870
891	39846	4824
892	39880	4778
893	39913	4732
894	39949	4686
895	39981	4640
896	40014	4594
897	40046	4548
898	40079	4502
899	40111	4456
900	40177	4414
901	40242	4372
902	40278	4326
903	40327	4282
904	40364	4237
905	40397	4191
906	40435	4146
907	40471	4100
908	40581	4062
909	40710	4026
910	40782	3984
911	40838	3940
912	40881	3895
913	40917	3850
914	40950	3804
915	40983	3758
916	41030	3713
917	41063	3667
918	41096	3622
919	41137	3577
920	41174	3531
921	41207	3486
922	41241	3440
923	41287	3395
924	41349	3352
925	41410	3309
926	41482	3266
927	41519	3221
928	41556	3176
929	41593	3130
930	41627	3085
931	41668	3040
932	41751	2998
933	41790	2953
934	41826	2907
935	41859	2862
936	41895	2816
937	41927	2771
938	41960	2725
939	41993	2680
940	42027	2635
941	42063	2589
942	42101	2544
943	42136	2499
944	42174	2454
945	42218	2409
946	42280	2366
947	42334	2322
948	42393	2278
949	42452	2234
950	42511	2190
951	42546	2145
952	42581	2100
953	42615	2054
954	42651	2009
955	42685	1964
956	42720	1919
957	42753	1874
958	42799	1829
959	42834	1784
960	42869	1739
961	42903	1694
962	42940	1649
963	42973	1604
964	43007	1559
965	43041	1514
966	43077	1470
967	43112	1425
968	43149	1380
969	43184	1335
970	43220	1290
971	43254	1246
972	43288	1201
973	43323	1156
974	43358	1111
975	43390	1066
976	43425	1022
977	43461	977
978	43495	933
979	43528	888
980	43563	843
981	43596	799
982	43634	754
983	43667	710
984	43702	665
985	43737	621
986	43772	576
987	43804	532
988	43844	487
989	43877	443
990	43914	398
991	43947	354
992	43984	310
993	44019	265
994	44057	221
995	44090	177
996	44128	132
997	44164	88
998	44199	44
999	44232	0
